from,to,time,message
55,54,2017-04-02T08:11:37+09:00,Do. Or do not. There is no try.
55,54,2017-04-18T01:35:43+09:00,"You'll find I'm full of surprises! Would somebody get this big walking carpet out of my way? You do have your moments. Not many, but you have them."
55,54,2017-04-20T03:34:17+09:00,Do. Or do not. There is no try. Never tell me the odds! Fear is the path to the dark side... fear leads to anger... anger leads to hate... hate leads to suffering.
54,55,2017-04-09T09:50:18+09:00,"If you're saying that coming here was a bad idea, I'm starting to agree with you. Wars not make one great."
55,54,2017-04-03T18:24:41+09:00,Wars not make one great.
55,54,2017-05-26T18:44:52+09:00,"Now, witness the power of this fully operational battle station. Would somebody get this big walking carpet out of my way?"
54,55,2017-05-14T21:51:12+09:00,"You'll find I'm full of surprises! Wars not make one great. There is no god, Summer; gotta rip that band-aid off now you'll thank me later."
54,55,2017-05-25T10:20:32+09:00,"A Jedi uses the Force for knowledge and defense, never for attack. Don’t even trip dawg."
54,55,2017-04-30T17:54:02+09:00,"Snuffles was my slave name, you can call me snowball because my fur is pretty and white. That is why you fail. It's not impossible. I used to bullseye womp rats in my T-16 back home, they're not much bigger than two meters."
55,54,2017-05-12T05:10:40+09:00,"Strike me down, and I will become more powerful than you could possibly imagine. You know, that little droid is going to cause me a lot of trouble."
55,54,2017-04-26T12:16:44+09:00,"Ohh yea, you gotta get schwifty."
54,55,2017-04-15T04:14:15+09:00,"Ohh yea, you gotta get schwifty. I find your lack of faith disturbing."
54,55,2017-04-08T15:51:43+09:00,"Judge me by my size, do you? Shut him up or shut him down."
55,54,2017-04-28T18:05:35+09:00,"Don’t even trip dawg. Now, witness the power of this fully operational battle station."
54,55,2017-05-15T22:41:06+09:00,"Hello Jerry, come to rub my face in urine again? You do have your moments. Not many, but you have them."
54,55,2017-04-23T12:38:44+09:00,"That is why you fail. Truly wonderful, the mind of a child is."
55,54,2017-05-14T01:47:19+09:00,Only at the end do you realize the power of the Dark Side.
55,54,2017-04-05T12:58:46+09:00,"I'm the devil. What should I do when I fail? Give myself an ice cream? Aww, gee, you got me there Rick."
55,54,2017-05-11T02:58:49+09:00,Wars not make one great. Shut him up or shut him down. You'll find I'm full of surprises!
54,55,2017-05-27T00:37:16+09:00,I don't get it and I don't need to. Don’t even trip dawg.
54,55,2017-04-23T14:52:05+09:00,"You do have your moments. Not many, but you have them. Would somebody get this big walking carpet out of my way?"
55,54,2017-05-01T01:28:21+09:00,Never tell me the odds!
54,55,2017-04-10T23:20:34+09:00,"Existence is pain to a meeseeks Jerry, and we will do anything to alleviate that pain."
54,55,2017-04-14T11:46:31+09:00,"I have a bad feeling about this. Bounty hunters! We don't need this scum. Judge me by my size, do you?"
55,54,2017-04-13T18:21:05+09:00,"Fear is the path to the dark side... fear leads to anger... anger leads to hate... hate leads to suffering. Snuffles was my slave name, you can call me snowball because my fur is pretty and white. You do have your moments. Not many, but you have them."
55,54,2017-05-10T16:17:19+09:00,"Never tell me the odds! There is no god, Summer; gotta rip that band-aid off now you'll thank me later."
54,55,2017-04-30T08:49:14+09:00,"Well then get your shit together. Get it all together and put it in a backpack, all your shit, so it's together. ...and if you gotta take it somewhere, take it somewhere ya know? Take it to the shit store and sell it, or put it in a shit museum. I don't care what you do, you just gotta get it together... Get your shit together. You will never find a more wretched hive of scum and villainy. We must be cautious."
54,55,2017-03-30T10:00:04+09:00,"Who's the more foolish; the fool, or the fool who follows him? I like what you got. Judge me by my size, do you?"
54,55,2017-04-04T22:17:28+09:00,Only at the end do you realize the power of the Dark Side.
55,54,2017-04-26T04:57:00+09:00,"Now, witness the power of this fully operational battle station. Only at the end do you realize the power of the Dark Side. R2-D2, you know better than to trust a strange computer!"
55,54,2017-04-07T11:53:19+09:00,I have a bad feeling about this. Aren't you a little short for a Stormtrooper?
55,54,2017-05-16T08:22:18+09:00,"Sometimes science is a lot more art, than science. A lot of people don't get that. Hello Jerry, come to rub my face in urine again? Aren't you a little short for a Stormtrooper?"
55,54,2017-04-18T01:25:48+09:00,Aren't you a little short for a Stormtrooper?
54,55,2017-05-10T10:26:16+09:00,"Sometimes science is a lot more art, than science. A lot of people don't get that."
54,55,2017-04-27T06:35:19+09:00,I find your lack of faith disturbing. I like what you got.
54,55,2017-05-01T20:15:11+09:00,"There is no god, Summer; gotta rip that band-aid off now you'll thank me later. Ohh yea, you gotta get schwifty."
55,54,2017-05-08T05:43:59+09:00,"Judge me by my size, do you? Ohh yea, you gotta get schwifty."
54,55,2017-04-16T19:22:23+09:00,"Shut him up or shut him down. Wars not make one great. Aw, c'mon Rick. That doesn't seem so bad."
55,54,2017-04-11T05:56:26+09:00,Do. Or do not. There is no try.
54,55,2017-05-20T22:55:05+09:00,"Bounty hunters! We don't need this scum. Now, witness the power of this fully operational battle station. Would somebody get this big walking carpet out of my way?"
